name,azizsupermrkt,chittagong,dhaka,sylhet,banglabazar,ecommerce,id,reference,Price
টাইম ম্যানেজমেন্ট,0,0,0,0,0,0,13727,1.3727E+12,300
Autobiography,0,0,0,0,0,0,13735,1.3735E+12,450
A Memoir Reflections Of A Pakistani Women,0,0,0,0,0,0,13737,1.3737E+12,2000
মাকড়সার বাসা,0,0,0,0,0,0,13769,1.3769E+12,80
ভারতীয় মধ্যযুগে সাধনার ধারা,0,0,0,1,0,0,59071,1.37988E+14,340
Five Hundred Buildings Of London,0,0,1,0,0,0,45067,1.39782E+14,2900
গুহাচিত্রে সভ্যতার অভিমুখ সন্ধান,0,0,0,2,0,0,35910,1.39788E+14,320
বঙ্গে ভ্রমণ,0,1,0,0,0,0,56243,1.39788E+14,700
রহস্যময় মায়া সভ্যতা,0,0,0,0,0,0,62442,1.39788E+14,320
অজন্তা ও বাঘগুহার কথা,0,0,0,1,0,0,44641,1.39788E+14,320
আয়ওয়ার ডায়েরি,0,0,0,0,0,0,3972,1.39789E+14,500
প্রিয় গানের স্বরলিপি,0,0,0,1,0,0,14082,1.4082E+12,100
রামের সুমতি,0,3,0,0,0,0,14159,1.4159E+12,65
দিবারাত্রির কাব্য,0,4,0,0,0,0,14171,1.4171E+12,150
দুর্বিন শাহের গণসংগীত,0,0,0,0,0,0,14232,1.4232E+12,75
সুনির্বাচিত লালন গীতির স্বরলিপি,0,1,0,0,0,0,14256,1.4256E+12,100
পথে হলো দেরি,0,0,0,0,0,0,14289,1.4289E+12,200
Atlas Shrugged SparkNotes Literature Guide (copy),0,0,0,0,0,0,14413,1.4413E+12,598
নির্বাচিত গান,0,0,0,2,0,0,14487,1.4487E+12,200
তবলা-সাধনা,0,0,0,0,0,0,14515,1.4515E+12,500
ভালোবাসার রাজপ্রাসাদে,0,0,0,1,0,0,14525,1.4525E+12,600
বৈকালীর গান,0,0,0,1,0,0,14553,1.4553E+12,400
বাংলা গানের সন্ধানে,0,1,0,1,0,0,14606,1.4606E+12,500
তোমার গীতি জাগালো স্মৃতি (প্রথম খণ্ড),0,0,0,1,0,0,14607,1.4607E+12,400
তোমার গীতি জাগালো স্মৃতি (দ্বিতীয় খণ্ড),0,0,0,1,0,0,14608,1.4608E+12,400
তৃণভূমি,0,0,0,0,0,0,14632,1.4632E+12,40
মেরু,0,0,0,0,0,0,14635,1.4635E+12,100
তোমাদের প্রিয় চার শিল্পী,0,1,0,0,0,0,14641,1.4641E+12,120
কবিতা সমগ্র,0,1,0,0,0,0,14653,1.4653E+12,700
অপরাজিত অপু,0,0,0,0,0,0,14670,1.467E+12,660
শিব-সঙ্কীর্ত্তন বা শিবায়ন,0,0,0,4,0,0,14712,1.4712E+12,300
অষ্টাদশ পুরাণ কাহিনী সমগ্র,0,0,0,0,0,0,14713,1.4713E+12,1000
তেরছা নজরে : মোল্লা নাসিরুদ্দিনের গল্প,0,0,0,0,0,0,14730,1.473E+12,280
কুকুর ও গরুর গল্প,0,3,0,0,0,0,14743,1.4743E+12,70
মিশর পুরাণ,0,1,2,0,0,0,14818,1.4818E+12,300
মেসমেরিজম,0,1,5,0,0,0,14819,1.4819E+12,280
কেমন করে স্বাধীন হলাম,0,0,0,0,0,0,14826,1.4826E+12,100
হযরত হুদ (আ.) ও তাঁর অবাধ্য জাতি,0,0,0,0,0,0,14852,1.4852E+12,120
নির্বাচিত কিশোর সংকলন,0,0,0,0,0,0,14928,1.4928E+12,300
নারীর কোনও দেশ নেই,0,0,0,2,0,0,14979,1.4979E+12,200
